Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite 1.0,Chrome 137.0.7151.120,,,25-06-2025 00:31:15,25-06-2025 00:31:21,6.317s,FAILED
,,,,,,,
Test Cases/Flutter-Web/TestCase 1.0,Chrome 137.0.7151.120,initial test case,,25-06-2025 00:31:15,25-06-2025 00:31:21,5.727s,FAILED
"openBrowser("""")",Chrome 137.0.7151.120,,,25-06-2025 00:31:16,25-06-2025 00:31:18,2.329s,PASSED
"navigateToUrl(""http://localhost:60322/"")",Chrome 137.0.7151.120,,,25-06-2025 00:31:18,25-06-2025 00:31:18,0.056s,PASSED
"setText(findTestObject(""enter_studentname""), ""safwan hairom"")",Chrome 137.0.7151.120,,,25-06-2025 00:31:18,25-06-2025 00:31:20,2.384s,PASSED
"click(findTestObject(""add_student""))",Chrome 137.0.7151.120,,,25-06-2025 00:31:20,25-06-2025 00:31:21,0.478s,PASSED
"verifyElementPresent(findTestObject(null), 0)",Chrome 137.0.7151.120,,,25-06-2025 00:31:21,25-06-2025 00:31:21,0.222s,FAILED
